<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>
2024.01.02,00:00:00,1.08502,1.08520,1.08494,1.08518,60
2024.01.02,00:01:00,1.08519,1.08536,1.08517,1.08536,60
2024.01.02,00:02:00,1.08532,1.08548,1.08532,1.08544,60
2024.01.02,00:03:00,1.08541,1.08567,1.08536,1.08564,60
2024.01.02,00:04:00,1.08566,1.08577,1.08562,1.08576,60
2024.01.02,00:05:00,1.08578,1.08588,1.08577,1.08586,60
2024.01.02,00:06:00,1.08583,1.08591,1.08580,1.08583,60
2024.01.02,00:07:00,1.08583,1.08618,1.08583,1.08613,60
2024.01.02,00:08:00,1.08613,1.08624,1.08612,1.08624,60
2024.01.02,00:09:00,1.08623,1.08647,1.08623,1.08646,60
2024.01.02,00:10:00,1.08649,1.08650,1.08637,1.08637,60
2024.01.02,00:11:00,1.08634,1.08659,1.08631,1.08659,60
2024.01.02,00:12:00,1.08659,1.08703,1.08659,1.08698,60
2024.01.02,00:13:00,1.08701,1.08708,1.08698,1.08701,60
2024.01.02,00:14:00,1.08704,1.08723,1.08704,1.08722,60
2024.01.02,00:15:00,1.08722,1.08730,1.08716,1.08730,60
2024.01.02,00:16:00,1.08732,1.08742,1.08729,1.08741,60
2024.01.02,00:17:00,1.08741,1.08759,1.08733,1.08759,60
2024.01.02,00:18:00,1.08761,1.08789,1.08761,1.08779,60
2024.01.02,00:19:00,1.08777,1.08796,1.08776,1.08794,60
2024.01.02,00:20:00,1.08795,1.08815,1.08795,1.08815,60
2024.01.02,00:21:00,1.08817,1.08826,1.08813,1.08816,60
2024.01.02,00:22:00,1.08814,1.08831,1.08811,1.08822,60
2024.01.02,00:23:00,1.08821,1.08839,1.08813,1.08833,60
2024.01.02,00:24:00,1.08833,1.08844,1.08829,1.08841,60
2024.01.02,00:25:00,1.08841,1.08855,1.08841,1.08853,60
2024.01.02,00:26:00,1.08854,1.08876,1.08850,1.08871,60
2024.01.02,00:27:00,1.08872,1.08881,1.08857,1.08881,60
2024.01.02,00:28:00,1.08879,1.08889,1.08871,1.08880,60
2024.01.02,00:29:00,1.08875,1.08892,1.08873,1.08882,60
2024.01.02,00:30:00,1.08882,1.08905,1.08879,1.08904,60
2024.01.02,00:31:00,1.08904,1.08912,1.08896,1.08906,60
2024.01.02,00:32:00,1.08906,1.08928,1.08897,1.08928,60
2024.01.02,00:33:00,1.08927,1.08939,1.08921,1.08934,60
2024.01.02,00:34:00,1.08934,1.08948,1.08933,1.08938,60
2024.01.02,00:35:00,1.08939,1.08945,1.08930,1.08941,60
2024.01.02,00:36:00,1.08942,1.08971,1.08942,1.08971,60
2024.01.02,00:37:00,1.08973,1.08991,1.08966,1.08990,60
2024.01.02,00:38:00,1.08994,1.09022,1.08994,1.09009,60
2024.01.02,00:39:00,1.09012,1.09029,1.09003,1.09029,60
2024.01.02,00:40:00,1.09028,1.09048,1.09025,1.09048,60
2024.01.02,00:41:00,1.09047,1.09061,1.09042,1.09058,60
2024.01.02,00:42:00,1.09057,1.09096,1.09057,1.09091,60
2024.01.02,00:43:00,1.09092,1.09099,1.09082,1.09082,60
2024.01.02,00:44:00,1.09083,1.09091,1.09081,1.09087,60
2024.01.02,00:45:00,1.09086,1.09107,1.09085,1.09102,60
2024.01.02,00:46:00,1.09102,1.09115,1.09099,1.09113,60
2024.01.02,00:47:00,1.09111,1.09136,1.09107,1.09124,60
2024.01.02,00:48:00,1.09126,1.09132,1.09124,1.09130,60
2024.01.02,00:49:00,1.09130,1.09131,1.09113,1.09122,60
2024.01.02,00:50:00,1.09119,1.09127,1.09116,1.09127,60
2024.01.02,00:51:00,1.09128,1.09128,1.09115,1.09123,60
2024.01.02,00:52:00,1.09125,1.09137,1.09121,1.09135,60
2024.01.02,00:53:00,1.09134,1.09167,1.09130,1.09167,60
2024.01.02,00:54:00,1.09168,1.09170,1.09158,1.09158,60
2024.01.02,00:55:00,1.09159,1.09186,1.09158,1.09180,60
2024.01.02,00:56:00,1.09182,1.09202,1.09182,1.09200,60
2024.01.02,00:57:00,1.09200,1.09232,1.09200,1.09229,60
2024.01.02,00:58:00,1.09227,1.09249,1.09227,1.09249,60
2024.01.02,00:59:00,1.09251,1.09279,1.09249,1.09274,60
2024.01.02,01:00:00,1.09277,1.09285,1.09268,1.09280,60
2024.01.02,01:01:00,1.09280,1.09314,1.09277,1.09314,60
2024.01.02,01:02:00,1.09313,1.09339,1.09313,1.09337,60
2024.01.02,01:03:00,1.09336,1.09382,1.09336,1.09381,60
2024.01.02,01:04:00,1.09382,1.09411,1.09382,1.09410,60
2024.01.02,01:05:00,1.09409,1.09411,1.09394,1.09408,60
2024.01.02,01:06:00,1.09410,1.09413,1.09399,1.09399,60
2024.01.02,01:07:00,1.09396,1.09403,1.09390,1.09402,60
2024.01.02,01:08:00,1.09400,1.09409,1.09393,1.09408,60
2024.01.02,01:09:00,1.09406,1.09414,1.09399,1.09401,60
2024.01.02,01:10:00,1.09399,1.09406,1.09398,1.09406,60
2024.01.02,01:11:00,1.09405,1.09411,1.09392,1.09399,60
2024.01.02,01:12:00,1.09399,1.09407,1.09391,1.09392,60
2024.01.02,01:13:00,1.09390,1.09405,1.09389,1.09396,60
2024.01.02,01:14:00,1.09399,1.09408,1.09399,1.09406,60
2024.01.02,01:15:00,1.09405,1.09407,1.09396,1.09399,60
2024.01.02,01:16:00,1.09398,1.09411,1.09398,1.09407,60
2024.01.02,01:17:00,1.09408,1.09410,1.09395,1.09403,60
2024.01.02,01:18:00,1.09403,1.09407,1.09386,1.09402,60
2024.01.02,01:19:00,1.09402,1.09407,1.09388,1.09393,60
2024.01.02,01:20:00,1.09392,1.09405,1.09392,1.09399,60
2024.01.02,01:21:00,1.09397,1.09407,1.09396,1.09400,60
2024.01.02,01:22:00,1.09398,1.09407,1.09397,1.09403,60
2024.01.02,01:23:00,1.09401,1.09407,1.09394,1.09399,60
2024.01.02,01:24:00,1.09397,1.09397,1.09387,1.09392,60
2024.01.02,01:25:00,1.09393,1.09407,1.09390,1.09391,60
2024.01.02,01:26:00,1.09392,1.09411,1.09390,1.09402,60
2024.01.02,01:27:00,1.09402,1.09412,1.09398,1.09405,60
2024.01.02,01:28:00,1.09407,1.09407,1.09398,1.09399,60
2024.01.02,01:29:00,1.09396,1.09403,1.09391,1.09396,60
2024.01.02,01:30:00,1.09395,1.09410,1.09393,1.09403,60
2024.01.02,01:31:00,1.09405,1.09408,1.09393,1.09400,60
2024.01.02,01:32:00,1.09400,1.09405,1.09390,1.09402,60
2024.01.02,01:33:00,1.09402,1.09412,1.09399,1.09406,60
2024.01.02,01:34:00,1.09407,1.09407,1.09391,1.09401,60
2024.01.02,01:35:00,1.09403,1.09409,1.09398,1.09399,60
2024.01.02,01:36:00,1.09399,1.09407,1.09396,1.09396,60
2024.01.02,01:37:00,1.09395,1.09403,1.09394,1.09399,60
2024.01.02,01:38:00,1.09399,1.09402,1.09389,1.09394,60
2024.01.02,01:39:00,1.09394,1.09409,1.09394,1.09403,60
2024.01.02,01:40:00,1.09405,1.09410,1.09398,1.09402,60
2024.01.02,01:41:00,1.09400,1.09417,1.09394,1.09412,60
2024.01.02,01:42:00,1.09411,1.09411,1.09390,1.09396,60
2024.01.02,01:43:00,1.09397,1.09403,1.09389,1.09403,60
2024.01.02,01:44:00,1.09401,1.09410,1.09398,1.09400,60
2024.01.02,01:45:00,1.09400,1.09409,1.09395,1.09409,60
2024.01.02,01:46:00,1.09404,1.09409,1.09398,1.09401,60
2024.01.02,01:47:00,1.09398,1.09403,1.09391,1.09393,60
2024.01.02,01:48:00,1.09394,1.09406,1.09394,1.09401,60
2024.01.02,01:49:00,1.09403,1.09406,1.09390,1.09394,60
2024.01.02,01:50:00,1.09392,1.09402,1.09390,1.09391,60
2024.01.02,01:51:00,1.09389,1.09405,1.09389,1.09405,60
2024.01.02,01:52:00,1.09407,1.09410,1.09396,1.09402,60
2024.01.02,01:53:00,1.09402,1.09406,1.09387,1.09388,60
2024.01.02,01:54:00,1.09388,1.09407,1.09387,1.09398,60
2024.01.02,01:55:00,1.09399,1.09402,1.09390,1.09400,60
2024.01.02,01:56:00,1.09400,1.09404,1.09393,1.09403,60
2024.01.02,01:57:00,1.09401,1.09413,1.09395,1.09408,60
2024.01.02,01:58:00,1.09409,1.09415,1.09398,1.09404,60
2024.01.02,01:59:00,1.09404,1.09408,1.09382,1.09408,60
2024.01.02,02:00:00,1.09404,1.09411,1.09397,1.09404,60
2024.01.02,02:01:00,1.09404,1.09412,1.09395,1.09402,60
2024.01.02,02:02:00,1.09403,1.09406,1.09385,1.09385,60
2024.01.02,02:03:00,1.09386,1.09404,1.09380,1.09402,60
2024.01.02,02:04:00,1.09403,1.09412,1.09399,1.09412,60
2024.01.02,02:05:00,1.09409,1.09409,1.09392,1.09398,60
2024.01.02,02:06:00,1.09397,1.09404,1.09390,1.09390,60
2024.01.02,02:07:00,1.09390,1.09405,1.09388,1.09393,60
2024.01.02,02:08:00,1.09396,1.09403,1.09387,1.09390,60
2024.01.02,02:09:00,1.09390,1.09394,1.09370,1.09371,60
2024.01.02,02:10:00,1.09369,1.09369,1.09349,1.09349,60
2024.01.02,02:11:00,1.09348,1.09349,1.09320,1.09320,60
2024.01.02,02:12:00,1.09318,1.09324,1.09286,1.09286,60
2024.01.02,02:13:00,1.09284,1.09284,1.09265,1.09267,60
2024.01.02,02:14:00,1.09267,1.09268,1.09256,1.09258,60
2024.01.02,02:15:00,1.09262,1.09262,1.09230,1.09230,60
2024.01.02,02:16:00,1.09227,1.09235,1.09217,1.09224,60
2024.01.02,02:17:00,1.09225,1.09236,1.09224,1.09230,60
2024.01.02,02:18:00,1.09232,1.09234,1.09210,1.09219,60
2024.01.02,02:19:00,1.09218,1.09222,1.09193,1.09201,60
2024.01.02,02:20:00,1.09201,1.09203,1.09190,1.09190,60
2024.01.02,02:21:00,1.09190,1.09209,1.09185,1.09206,60
2024.01.02,02:22:00,1.09207,1.09208,1.09189,1.09190,60
2024.01.02,02:23:00,1.09189,1.09197,1.09175,1.09175,60
2024.01.02,02:24:00,1.09176,1.09178,1.09151,1.09151,60
2024.01.02,02:25:00,1.09149,1.09150,1.09138,1.09146,60
2024.01.02,02:26:00,1.09143,1.09148,1.09132,1.09140,60
2024.01.02,02:27:00,1.09142,1.09142,1.09116,1.09116,60
2024.01.02,02:28:00,1.09115,1.09115,1.09079,1.09079,60
2024.01.02,02:29:00,1.09080,1.09083,1.09058,1.09066,60
2024.01.02,02:30:00,1.09061,1.09061,1.09038,1.09043,60
2024.01.02,02:31:00,1.09041,1.09042,1.09003,1.09013,60
2024.01.02,02:32:00,1.09015,1.09015,1.08992,1.08993,60
2024.01.02,02:33:00,1.08992,1.08997,1.08986,1.08986,60
2024.01.02,02:34:00,1.08986,1.08987,1.08966,1.08966,60
2024.01.02,02:35:00,1.08968,1.08968,1.08945,1.08946,60
2024.01.02,02:36:00,1.08948,1.08961,1.08933,1.08933,60
2024.01.02,02:37:00,1.08932,1.08941,1.08923,1.08923,60
2024.01.02,02:38:00,1.08922,1.08926,1.08893,1.08895,60
2024.01.02,02:39:00,1.08893,1.08897,1.08880,1.08882,60
2024.01.02,02:40:00,1.08882,1.08887,1.08850,1.08850,60
2024.01.02,02:41:00,1.08852,1.08852,1.08833,1.08849,60
2024.01.02,02:42:00,1.08847,1.08851,1.08839,1.08848,60
2024.01.02,02:43:00,1.08847,1.08847,1.08815,1.08815,60
2024.01.02,02:44:00,1.08819,1.08826,1.08806,1.08806,60
2024.01.02,02:45:00,1.08803,1.08812,1.08796,1.08797,60
2024.01.02,02:46:00,1.08795,1.08798,1.08787,1.08791,60
2024.01.02,02:47:00,1.08791,1.08791,1.08776,1.08780,60
2024.01.02,02:48:00,1.08778,1.08782,1.08759,1.08759,60
2024.01.02,02:49:00,1.08761,1.08769,1.08745,1.08745,60
2024.01.02,02:50:00,1.08743,1.08745,1.08727,1.08740,60
2024.01.02,02:51:00,1.08742,1.08747,1.08710,1.08711,60
2024.01.02,02:52:00,1.08710,1.08712,1.08683,1.08684,60
